"year","zip","jobs","sold_jobs","revenue"
2019,"43026",575,286,251467.15
2019,"43221",412,203,186935.31
2019,"43065",340,168,167798.32999999996
2019,"43017",381,182,161694.2
2019,"43214",270,134,147883.97
2019,"43235",247,123,145742.13000000003
2019,"43220",207,94,129910.74
2019,"43123",254,113,126856.70000000001
2019,"43081",255,119,119954.26999999999
2019,"43016",289,142,117757.04999999999
2019,"43230",223,98,114509.12
2019,"43228",243,109,98645.26000000001
2019,"43209",174,81,88593.75999999998
2019,"43085",135,64,77088.47
2019,"43204",161,72,69982
2019,"43054",158,71,66070.08
2019,"43004",98,48,65646.36
2019,"43212",143,74,60692.84
2019,"43068",134,62,59885.39
2019,"43035",118,53,59671.24
2019,"43082",173,75,56347.39
2019,"43015",86,34,54983.6
2019,"43064",61,27,53383
2019,"43207",99,44,53154.329999999994
2019,"43202",105,52,52892.969999999994
2019,"43021",68,28,51037.6
2019,"43206",93,44,47687
2019,"43119",102,48,45774.86
2019,"43224",76,40,41571
2019,"43229",99,45,40990.079999999994
2019,"43231",70,30,30892.54
2019,"43227",68,25,30649.18
2019,"43232",62,27,28093.08
2019,"43201",74,39,26229.64
2019,"43040",49,18,22618.980000000003
2019,"43213",79,30,21952
2019,"43222",16,10,20332
2019,"43147",82,32,19759.79
2019,"92026",25,11,19519
2019,"92056",30,12,19473.6
2019,"43215",59,28,17657
2019,"43110",50,18,16239
2019,"43219",47,23,13253.75
2019,"43074",23,11,11141
2019,"92078",32,15,10293
2019,"43203",18,4,10156
2019,"43125",22,9,9745
2019,"43223",47,17,9081.41
2019,"92009",21,8,8653.75
2019,"92064",2,2,8522
2019,"43061",9,5,8518
2019,"92024",15,5,8322.8
2019,"43205",28,11,8028
2019,"92081",15,6,7716
2019,"92084",19,5,6854
2019,"93923",4,2,6817
2019,"92130",7,1,6575
2019,"43211",24,9,6553
2019,"92025",15,7,6090.8
2019,"43116",2,1,4978
2019,"92069",29,9,4960.5
2019,"43162",5,1,4919
2019,"92028",7,3,4652.24
2019,"43240",17,10,4362
2019,"92037",4,2,4317
2019,"92029",10,5,3507
2019,"92027",22,9,3000
2019,"43062",7,5,2516
2019,"44641",2,2,2249
2019,"43145",4,2,2199
2019,"92127",6,3,2153
2019,"92057",26,5,2065
2019,"92592",4,2,1981.8
2019,"46268",7,2,1900
2019,fakity,1,1,1878
2019,"45601",2,1,1599
2019,"44883",1,1,1549
2019,"80111",3,1,1511
2019,"92123",2,2,1458
2019,"92054",10,5,1046
2019,"92011",12,3,1040
2019,"92010",4,3,1038
2019,"92058",6,3,1010
2019,"30024",3,1,954
2019,"43140",4,3,825
2019,"92008",8,3,793
2019,"43121",1,1,739
2019,"92260",1,1,730
2019,"19422",1,1,679
2019,"85254",1,1,668
2019,"92082",5,3,636
2019,"43358",1,1,579
2019,"48009",3,1,554
2019,"92131",2,1,455
2019,"92083",13,1,415
2019,"92106",1,1,400
2019,"92129",4,1,300
2019,"44140",1,1,285
2019,"45429",2,1,260
2019,"44143",1,1,235
2019,"32708",1,1,230
2019,"43113",2,1,165
2019,"33760",1,1,99
2019,"12345",1,0,0
2019,"33603",1,0,0
2019,"02662",2,0,0
2019,"92059",1,0,0
2019,"45066",1,0,0
2019,"3315443206",1,0,0
2019,"43055",3,0,0
2019,"92019",1,0,0
2019,"33579",1,0,0
2019,"92014",1,0,0
2019,"00002",1,0,0
2019,"91942",1,0,0
2019,"43102",1,0,0
2019,"92103",1,0,0
2019,"92102",1,0,0
2019,"97045",1,0,0
2019,"92128",5,0,0
2019,"43137",1,0,0
2019,"32703",2,0,0
2019,"43031",1,0,0
2019,"92065",2,0,0
2019,"92007",2,0,0
2019,"43001",1,0,0
2019,"92091",1,0,0
2019,"91941",1,0,0
2019,"29407",1,0,0
2019,"43210",1,0,0
2019,"91351",1,0,0
2019,"91910",1,0,0
